('201419_14100400_9.6_155.1_40_996', tensor(62.8343))
('201608_16081906_20.6_106.4_40_980', tensor(42.9002))
('201609_16081912_18.7_140.9_35_994', tensor(64.7461))
('201609_16081918_19.4_140.6_40_992', tensor(55.1074))
('201609_16082000_20.4_140.8_40_992', tensor(65.2093))
('201609_16082006_22.1_141.0_45_990', tensor(68.7019))
('201609_16082012_24.4_141.1_50_985', tensor(51.2030))
('201609_16082018_26.2_140.8_50_985', tensor(36.5783))
('201609_16082100_28.0_140.6_50_985', tensor(35.0850))
('201609_16082106_29.8_139.9_50_985', tensor(32.2872))
('201609_16082112_31.5_139.5_55_980', tensor(32.2247))
('201609_16082220_41.8_142.3_50_992', tensor(42.8913))
('201610_16082118_28.8_133.2_40_990', tensor(32.2337))
('201610_16082200_28.8_133.4_40_990', tensor(34.8772))
('201610_16082206_28.7_133.7_40_990', tensor(37.0866))
('201610_16082212_28.5_134.1_40_990', tensor(53.7487))
('201610_16082218_28.2_134.3_45_990', tensor(61.7350))
('201610_16082300_28.0_134.4_50_985', tensor(42.9497))
('201610_16082306_27.3_134.2_55_980', tensor(46.3882))
('201610_16082312_26.6_134.0_60_975', tensor(49.6685))
('201610_16082318_25.8_133.3_70_965', tensor(47.6257))
('201610_16082400_25.3_132.8_75_960', tensor(45.0251))
('201610_16082406_24.8_132.3_80_950', tensor(62.6879))
('201610_16082412_24.4_131.8_80_950', tensor(54.2306))
('201610_16082418_23.9_131.4_85_945', tensor(57.0089))
('201610_16082500_23.6_131.1_85_945', tensor(56.4589))
('201610_16082506_23.5_130.9_85_945', tensor(55.5204))
('201610_16082512_23.5_130.8_85_945', tensor(49.1363))
('201610_16082518_23.1_130.5_85_945', tensor(63.8721))
('201610_16082600_23.2_131.0_85_945', tensor(58.4524))
('201610_16082606_23.1_131.3_85_945', tensor(56.9557))
('201610_16082612_23.2_132.1_80_950', tensor(67.5576))
('201610_16082618_23.5_132.5_80_950', tensor(91.0850))
('201610_16082700_23.7_133.1_85_945', tensor(88.5555))
('201610_16082706_24.0_133.9_85_945', tensor(90.4275))
('201610_16082712_24.5_134.6_85_945', tensor(88.5722))
('201610_16082718_25.1_135.6_85_945', tensor(82.4268))
('201610_16082800_26.1_136.6_85_945', tensor(98.7380))
('201610_16082806_27.7_137.9_90_940', tensor(107.5965))
('201610_16082812_28.5_138.8_90_940', tensor(101.2536))
('201610_16082818_29.4_140.5_90_940', tensor(69.1650))
('201610_16082900_30.4_141.7_85_945', tensor(52.4523))
('201610_16082906_31.3_142.7_80_950', tensor(40.5823))
('201610_16082912_32.3_143.4_75_960', tensor(42.1271))
('201610_16082918_34.0_143.6_70_965', tensor(41.3667))
('201611_16082006_34.3_145.7_35_994', tensor(45.6883))
('201611_16082012_36.3_143.7_35_994', tensor(30.7097))
('201611_16082018_37.8_142.8_35_996', tensor(25.1665))
('201611_16082100_38.8_142.9_35_996', tensor(28.1383))
('201611_16082106_40.6_142.9_35_996', tensor(23.6987))
('201611_16082112_42.5_143.9_35_1000', tensor(24.6700))
('201612_16090106_24.4_129.0_45_994', tensor(39.6255))
('201612_16090112_25.0_130.2_55_985', tensor(36.5080))
('201613_16090612_28.3_128.1_40_1002', tensor(26.9475))
('201613_16090618_29.0_129.1_40_1000', tensor(29.1734))
('201614_16091012_15.3_137.9_35_998', tensor(54.0015))
('201614_16091018_16.0_136.9_45_990', tensor(69.9289))
('201614_16091100_16.4_135.7_55_980', tensor(59.7043))
('201614_16091106_16.7_134.5_65_970', tensor(56.4003))
('201614_16091112_17.4_133.2_80_950', tensor(65.0920))
('201614_16091118_17.6_131.7_85_940', tensor(66.5738))
('201614_16091200_18.0_130.4_95_930', tensor(80.0907))
('201614_16091206_18.3_129.4_100_920', tensor(89.1234))
('201614_16091212_18.9_128.2_105_910', tensor(108.1284))
('201614_16091218_19.3_126.7_105_910', tensor(107.9379))
('201614_16091300_19.6_125.5_115_900', tensor(88.9825))
('201614_16091306_20.2_124.1_115_900', tensor(92.4562))
('201614_16091312_20.4_122.9_120_890', tensor(109.5782))
('201614_16091318_20.9_121.8_115_900', tensor(102.0925))
('201614_16091400_21.6_120.8_105_910', tensor(108.1217))
('201614_16091406_22.5_119.8_90_930', tensor(96.3500))
('201614_16091412_23.5_118.9_85_940', tensor(72.7603))
('201614_16091418_24.4_118.3_70_965', tensor(66.3698))
('201614_16091500_25.2_117.7_55_980', tensor(68.5137))
('201614_16091506_26.1_116.9_45_996', tensor(49.0472))
('201615_16091300_15.9_107.3_35_996', tensor(43.5215))
('201616_16091300_14.2_138.1_40_996', tensor(60.2600))
('201616_16091306_14.5_137.0_45_990', tensor(63.0616))
('201616_16091312_14.7_135.9_45_990', tensor(57.9831))
('201616_16091318_15.0_134.6_55_985', tensor(45.5628))
('201616_16091400_15.4_133.4_65_975', tensor(37.1976))
('201616_16091406_15.8_132.2_70_965', tensor(51.5676))
('201616_16091412_16.3_131.2_70_965', tensor(50.0131))
('201616_16091418_16.7_130.0_70_965', tensor(57.9770))
('201616_16091500_16.9_128.8_70_965', tensor(68.3716))
('201616_16091506_17.5_127.7_80_950', tensor(69.7257))
('201616_16091512_18.4_126.7_85_940', tensor(53.2223))
('201616_16091518_19.2_125.7_85_940', tensor(53.3960))
('201616_16091600_20.1_124.7_85_940', tensor(73.0497))
('201616_16091606_21.1_123.9_85_940', tensor(66.9881))
('201616_16091718_26.3_122.8_80_950', tensor(61.1827))
('201616_16091800_26.9_123.5_80_950', tensor(57.3646))
('201616_16091806_27.4_124.2_80_950', tensor(73.8222))
('201616_16091812_28.0_125.1_85_945', tensor(89.3476))
('201616_16091818_28.7_126.1_95_940', tensor(101.7685))
('201616_16091900_29.4_127.1_95_940', tensor(97.9481))
('201617_16092400_17.5_136.5_40_990', tensor(74.8254))
('201617_16092406_18.3_135.3_45_980', tensor(68.2145))
('201617_16092412_18.7_133.9_55_975', tensor(70.6971))
('201617_16092418_19.0_132.9_65_970', tensor(63.0310))
('201617_16092500_19.5_131.6_65_970', tensor(73.6782))
('201617_16092506_19.9_130.3_65_970', tensor(73.7137))
('201617_16092512_20.2_129.3_65_970', tensor(79.1253))
('201617_16092518_20.6_128.2_65_970', tensor(78.6406))
('201617_16092600_20.8_127.3_65_970', tensor(80.2894))
('201617_16092606_21.4_126.2_70_960', tensor(78.2010))
('201617_16092718_24.4_119.6_55_975', tensor(63.9248))
('201617_16092800_25.0_118.1_45_985', tensor(68.0966))
('201617_16092806_25.3_117.0_35_990', tensor(60.9699))
('201618_16092912_13.5_140.5_35_1000', tensor(70.1208))
('201618_16092918_13.4_139.2_45_992', tensor(64.5954))
('201618_16093000_13.8_138.1_50_990', tensor(67.4603))
('201618_16093006_14.3_137.4_50_990', tensor(73.1877))
('201618_16093012_14.8_136.7_50_990', tensor(47.2399))
('201618_16093018_15.4_136.0_55_985', tensor(47.3212))
('201618_16100100_16.1_135.2_55_985', tensor(76.4252))
('201618_16100106_16.8_134.4_60_980', tensor(72.3023))
('201618_16100112_17.6_133.4_70_970', tensor(73.0891))
('201618_16100118_18.5_132.6_80_955', tensor(77.8913))
('201618_16100200_19.7_131.5_95_935', tensor(70.7752))
('201618_16100206_20.8_130.4_95_935', tensor(78.8464))
('201618_16100212_21.8_129.2_95_935', tensor(80.2824))
('201618_16100218_22.8_128.3_95_935', tensor(69.9257))
('201619_16100600_20.6_120.5_35_998', tensor(42.1430))
('201619_16100606_20.7_119.0_35_998', tensor(33.2369))
('201619_16100612_20.6_117.8_40_994', tensor(36.8254))
('201619_16100618_20.6_117.2_40_994', tensor(46.6737))
('201619_16100700_20.4_116.4_40_992', tensor(49.4463))
('201619_16100706_20.7_116.0_50_985', tensor(52.6235))
('201619_16100712_21.0_115.9_55_980', tensor(38.3858))
('201619_16100718_21.2_115.9_60_975', tensor(46.5316))
('201619_16100800_21.3_116.1_55_980', tensor(39.5396))
('201619_16100806_21.3_116.3_50_985', tensor(36.9112))
('201619_16100812_21.6_116.9_45_990', tensor(31.1724))
('201619_16100818_21.8_117.2_40_992', tensor(38.3436))
('201619_16100900_21.6_117.4_40_996', tensor(52.4459))
('201619_16100906_21.3_117.8_40_996', tensor(40.7886))
('201619_16100912_21.6_117.9_35_998', tensor(44.6568))
('201619_16100918_21.8_117.9_35_998', tensor(34.9916))
('201620_16100818_20.6_152.7_35_1000', tensor(55.2689))
('201620_16100900_21.2_151.3_35_1000', tensor(62.1255))
('201620_16100906_22.1_150.0_40_996', tensor(57.7000))
('201620_16100912_23.2_148.5_45_990', tensor(53.7378))
('201620_16100918_24.0_147.3_55_980', tensor(64.0333))
('201620_16101000_24.7_146.4_65_970', tensor(59.1602))
('201620_16101006_25.5_145.9_80_955', tensor(71.1723))
('201620_16101012_26.3_145.8_90_940', tensor(67.5281))
('201620_16101018_27.2_145.8_95_930', tensor(73.2706))
('201620_16101100_27.8_146.0_90_935', tensor(66.2824))
('201620_16101106_28.5_146.7_90_935', tensor(57.8459))
('201620_16101112_29.2_147.5_95_930', tensor(82.8179))
('201620_16101118_30.3_148.9_100_925', tensor(90.1057))
('201620_16101200_31.3_151.0_100_925', tensor(100.6108))
('201620_16101206_32.6_153.7_90_935', tensor(94.2007))
('201620_16101212_33.9_156.8_85_945', tensor(90.1109))
('201620_16101218_35.8_161.1_75_955', tensor(80.4578))
('201620_16101300_38.1_166.3_65_970', tensor(63.9267))
('201621_16101400_13.6_126.7_40_994', tensor(50.7594))
('201621_16101406_13.7_126.3_45_990', tensor(59.3936))
('201621_16101412_13.8_125.9_55_980', tensor(69.4888))
('201621_16101418_14.0_125.4_55_980', tensor(74.8839))
('201621_16101500_14.3_124.6_65_970', tensor(74.5773))
('201621_16101506_14.7_123.9_80_955', tensor(87.7793))
('201621_16101512_15.1_123.0_85_950', tensor(69.3988))
('201621_16101518_15.8_121.8_95_935', tensor(62.7823))
('201621_16101600_16.2_119.8_75_965', tensor(57.3665))
('201621_16101606_16.6_118.4_70_965', tensor(58.9646))
('201621_16101612_16.8_117.2_65_970', tensor(67.0975))
('201621_16101618_16.8_115.5_65_970', tensor(58.9666))
('201621_16101700_17.0_114.3_60_970', tensor(59.3091))
('201621_16101706_17.4_113.1_60_970', tensor(77.2156))
('201621_16101712_17.6_112.3_60_970', tensor(81.4483))
('201621_16101718_18.0_111.5_60_970', tensor(75.6221))
('201621_16101800_18.6_110.7_60_970', tensor(70.2368))
('201621_16101806_19.1_110.0_55_975', tensor(62.2884))
('201621_16101812_19.7_109.3_45_985', tensor(55.1918))
('201621_16101818_20.3_108.8_40_990', tensor(35.8240))
('201621_16101900_21.0_108.4_35_994', tensor(38.1764))
('201622_16101506_9.1_142.1_40_996', tensor(74.3174))
('201622_16101512_9.5_140.7_45_992', tensor(74.2829))
('201622_16101518_9.7_140.0_50_985', tensor(66.8020))
('201622_16101600_9.9_139.6_55_980', tensor(75.6124))
('201622_16101606_10.4_139.1_65_975', tensor(77.8425))
('201622_16101612_11.3_138.7_70_970', tensor(63.2353))
('201622_16101618_12.3_137.8_80_960', tensor(59.9308))
('201622_16101700_12.9_136.7_85_955', tensor(76.9364))
('201622_16101706_13.4_135.5_90_950', tensor(81.4152))
('201622_16101712_13.8_134.5_95_945', tensor(73.4219))
('201622_16101718_14.4_133.3_100_925', tensor(100.1123))
('201622_16101800_14.9_132.1_100_925', tensor(92.8190))
('201622_16101806_15.4_130.7_105_915', tensor(94.7685))
('201622_16101812_15.6_129.1_110_910', tensor(103.2024))
('201622_16101818_16.0_127.5_115_900', tensor(105.5929))
('201622_16101900_16.1_126.0_115_900', tensor(102.4048))
('201622_16101906_16.7_124.7_115_900', tensor(107.8832))
('201622_16101912_17.3_123.1_100_915', tensor(93.8156))
('201622_16101918_17.7_121.5_90_940', tensor(79.5302))
('201622_16102000_18.4_120.1_80_945', tensor(77.3868))
('201622_16102006_19.0_118.8_75_950', tensor(65.1275))
('201622_16102012_19.8_117.4_70_960', tensor(66.6815))
('201622_16102018_20.6_116.6_70_960', tensor(57.4662))
('201622_16102100_22.1_115.6_60_970', tensor(68.7665))
('201622_16102106_23.2_115.1_45_980', tensor(66.9676))
('201622_16102112_24.3_114.7_35_992', tensor(64.3084))
('201623_16110306_13.7_137.3_35_996', tensor(53.2276))
('201623_16110312_14.0_137.4_35_996', tensor(43.7911))
('201623_16110318_14.3_137.9_40_992', tensor(36.8737))
('201623_16110400_15.0_138.8_45_990', tensor(61.0844))
('201623_16110406_15.6_139.1_55_985', tensor(65.9447))
('201623_16110412_16.2_139.3_55_985', tensor(71.4073))
('201623_16110418_16.8_139.4_60_975', tensor(51.7354))
('201623_16110500_17.2_139.9_65_970', tensor(66.0593))
('201623_16110506_17.5_140.3_70_965', tensor(70.1270))
('201623_16110512_18.3_140.7_75_960', tensor(72.2160))
('201623_16110518_18.6_141.8_75_960', tensor(60.5683))
('201623_16110600_19.5_142.5_75_960', tensor(69.0047))
('201623_16110606_20.7_143.6_75_960', tensor(75.0296))
('201623_16110612_22.2_144.8_75_960', tensor(82.9054))
('201623_16110618_24.3_146.1_70_965', tensor(84.5596))
('201623_16110700_27.3_147.0_65_970', tensor(74.4728))
('201624_16111006_17.3_155.9_35_1002', tensor(66.1078))
('201624_16111012_17.5_154.5_35_1002', tensor(48.8257))
('201624_16111018_17.9_153.5_35_1002', tensor(48.0681))
('201624_16111100_18.3_152.3_35_1002', tensor(57.2346))
('201624_16111106_19.1_150.9_35_1002', tensor(51.8070))
('201624_16111112_19.9_148.1_35_1004', tensor(29.7672))
('201624_16111118_20.7_146.8_35_1004', tensor(38.0748))
('201625_16112518_12.6_119.9_45_994', tensor(42.1784))
('201625_16112600_13.2_118.7_50_992', tensor(53.7328))
('201625_16112606_13.8_117.7_45_994', tensor(50.2217))
('201625_16112612_14.3_117.4_45_994', tensor(45.1593))
('201625_16112618_14.8_117.3_45_994', tensor(47.2907))
('201625_16112700_15.7_117.6_45_994', tensor(46.0385))
('201625_16112706_16.4_118.0_45_994', tensor(56.6030))
('201625_16112712_16.8_118.2_45_994', tensor(53.5409))
('201625_16112718_17.0_118.5_35_1000', tensor(40.8143))
('201626_16122200_8.6_139.1_40_994', tensor(56.3030))
('201626_16122206_9.4_137.8_40_994', tensor(58.3543))
('201626_16122212_10.2_136.3_45_992', tensor(55.8640))
('201626_16122218_11.1_134.8_55_985', tensor(77.0695))
('201626_16122300_11.7_133.3_55_985', tensor(76.4271))
('201626_16122306_11.9_132.1_70_970', tensor(73.2387))
('201626_16122312_12.6_131.0_80_955', tensor(69.1103))
('201626_16122318_13.0_129.9_85_950', tensor(77.8812))
('201626_16122400_13.1_128.9_95_935', tensor(74.4257))
('201626_16122406_13.3_128.2_105_915', tensor(69.0386))
('201626_16122412_13.4_127.5_105_915', tensor(68.2540))
('201626_16122418_13.6_126.7_105_915', tensor(64.0637))
('201626_16122500_13.5_126.0_105_915', tensor(70.1241))
('201626_16122506_13.5_125.1_100_925', tensor(90.0221))
('201626_16122512_13.5_124.0_100_925', tensor(78.9972))
('201626_16122518_13.5_122.8_85_950', tensor(69.6164))
('201626_16122600_13.6_121.4_85_950', tensor(65.5263))
('201626_16122606_14.1_119.7_70_970', tensor(62.7148))
('201626_16122612_14.4_118.4_70_970', tensor(54.2358))
('201626_16122618_14.8_117.0_65_975', tensor(43.9280))
('201626_16122700_15.0_116.3_60_980', tensor(44.4459))
('201626_16122706_14.7_116.0_50_985', tensor(42.6198))
('201626_16122712_14.2_115.5_40_996', tensor(43.3392))
